order_id,fecha,region,ciudad,categoria,producto,cantidad,precio_unitario,descuento,ventas,ganancia
1198,2025-02-04,Costa,Guayaquil,Oficina,Grapadora,23,8,0.2,147.2,41.22
1216,2025-02-04,Sierra,Ambato,Muebles,Silla,5,60,0.05,285.0,62.7
1041,2025-02-05,Sierra,Ambato,Oficina,Boligrafos,31,3,0.25,69.75,17.44
1193,2025-02-06,Oriente,Puyo,Tecnologia,Teclado,10,45,0.3,315.0,-9.45
1141,2025-02-07,Costa,Machala,Muebles,Escritorio,3,150,0.05,427.5,94.05
1105,2025-02-08,Sierra,Quito,Oficina,Boligrafos,38,3,0.05,108.3,40.07
1102,2025-02-08,Costa,Guayaquil,Tecnologia,Monitor,3,200,0.25,450.0,0.0
1004,2025-02-10,Oriente,Tena,Muebles,Silla,3,60,0.25,135.0,13.5
1344,2025-02-11,Sierra,Quito,Muebles,Silla,10,60,0.05,570.0,125.4
1025,2025-02-11,Sierra,Cuenca,Muebles,Estanteria,2,90,0,180,45.0
1327,2025-02-12,Oriente,Tena,Muebles,Archivador,1,110,0.1,99.0,18.81
1146,2025-02-13,Costa,Machala,Oficina,Cuaderno,9,4,0.15,30.6,9.49
1093,2025-02-14,Sierra,Cuenca,Tecnologia,Teclado,7,45,0.3,220.5,-6.61
1140,2025-02-16,Oriente,Tena,Oficina,Grapadora,34,8,0,272,108.8
1024,2025-02-16,Sierra,Cuenca,Oficina,Resma papel,35,5,0,175,70.0
1317,2025-02-16,Costa,Machala,Tecnologia,Monitor,1,200,0.1,180.0,16.2
1111,2025-02-17,Sierra,Ambato,Oficina,Cuaderno,12,4,0,48,19.2
1299,2025-02-17,Sierra,Cuenca,Tecnologia,Impresora,4,150,0.2,480.0,14.4
1000,2025-02-19,Sierra,Quito,Muebles,Escritorio,1,150,0.25,112.5,11.25
1118,2025-02-20,Costa,Guayaquil,Muebles,Archivador,3,110,0.1,297.0,56.43
1206,2025-02-21,Sierra,Quito,Oficina,Marcadores,36,6,0,216,86.4
1005,2025-02-23,Oriente,Tena,Tecnologia,Mouse,17,20,0.1,306.0,27.54
1125,2025-02-23,Oriente,Tena,Muebles,Estanteria,5,90,0.15,382.5,61.2
1338,2025-02-28,Costa,Manta,Tecnologia,Mouse,22,20,0.25,330.0,0.0
1058,2025-02-28,Sierra,Quito,Muebles,Escritorio,1,150,0.1,135.0,25.65
1044,2025-03-02,Oriente,Puyo,Tecnologia,Mouse,8,20,0.05,152.0,18.24
1335,2025-03-03,Sierra,Cuenca,Tecnologia,Impresora,1,150,0,150,22.5
1197,2025-03-04,Oriente,Tena,Oficina,Cuaderno,11,4,0.05,41.8,15.47
1022,2025-03-04,Sierra,Ambato,Tecnologia,Laptop,1,800,0.3,560.0,-16.8
1213,2025-03-05,Costa,Manta,Tecnologia,Impresora,3,150,0.3,315.0,-9.45
1279,2025-03-06,Oriente,Puyo,Muebles,Archivador,2,110,0.05,209.0,45.98
1359,2025-03-08,Oriente,Puyo,Tecnologia,Laptop,5,800,0.1,3600.0,324.0
1292,2025-03-08,Sierra,Cuenca,Tecnologia,Impresora,4,150,0.15,510.0,30.6
1070,2025-03-11,Sierra,Quito,Tecnologia,Impresora,2,150,0.1,270.0,24.3
1152,2025-03-12,Oriente,Puyo,Tecnologia,Mouse,28,20,0.25,420.0,0.0
1015,2025-03-13,Oriente,Tena,Muebles,Silla,8,60,0,480,120.0
1238,2025-03-13,Costa,Guayaquil,Tecnologia,Teclado,6,45,0,270,40.5
1324,2025-03-13,Sierra,Cuenca,Tecnologia,Mouse,6,20,0.05,114.0,13.68
1135,2025-03-14,Sierra,Quito,Tecnologia,Impresora,5,150,0,750,112.5
1026,2025-03-17,Oriente,Puyo,Muebles,Archivador,5,110,0,550,137.5
1037,2025-03-18,Oriente,Tena,Oficina,Boligrafos,35,3,0.1,94.5,32.13
1302,2025-03-21,Sierra,Cuenca,Muebles,Archivador,1,110,0.1,99.0,18.81
1122,2025-03-21,Sierra,Ambato,Tecnologia,Laptop,2,800,0.1,1440.0,129.6
1322,2025-03-22,Oriente,Puyo,Muebles,Escritorio,3,150,0.25,337.5,33.75
1226,2025-03-22,Sierra,Ambato,Muebles,Silla,12,60,0.2,576.0,74.88
1017,2025-03-22,Oriente,Puyo,Tecnologia,Monitor,1,200,0,200,30.0
1331,2025-03-23,Sierra,Ambato,Oficina,Boligrafos,19,3,0.15,48.45,15.02
1251,2025-03-23,Oriente,Puyo,Tecnologia,Teclado,2,45,0.1,81.0,7.29
1065,2025-03-23,Oriente,Puyo,Oficina,Marcadores,19,6,0.1,102.6,34.88
1131,2025-03-26,Sierra,Cuenca,Muebles,Silla,3,60,0.2,144.0,18.72
1169,2025-03-26,Sierra,Quito,Oficina,Resma papel,25,5,0.15,106.25,32.94
1267,2025-03-28,Oriente,Tena,Muebles,Estanteria,5,90,0.3,315.0,22.05
1080,2025-04-03,Oriente,Tena,Oficina,Boligrafos,9,3,0.2,21.6,6.05
1050,2025-04-04,Oriente,Puyo,Tecnologia,Impresora,2,150,0.2,240.0,7.2
1241,2025-04-05,Oriente,Tena,Oficina,Grapadora,21,8,0.15,142.8,44.27
1261,2025-04-05,Costa,Machala,Muebles,Escritorio,1,150,0.2,120.0,15.6
1007,2025-04-06,Sierra,Cuenca,Oficina,Cuaderno,28,4,0.1,100.8,34.27
1273,2025-04-06,Sierra,Cuenca,Oficina,Grapadora,25,8,0.1,180.0,61.2
1138,2025-04-08,Sierra,Cuenca,Muebles,Estanteria,4,90,0.2,288.0,37.44
1171,2025-04-12,Oriente,Tena,Muebles,Silla,12,60,0.1,648.0,123.12
1199,2025-04-12,Oriente,Tena,Muebles,Estanteria,6,90,0.15,459.0,73.44
1227,2025-04-13,Costa,Machala,Oficina,Grapadora,27,8,0,216,86.4
1159,2025-04-13,Oriente,Puyo,Oficina,Cuaderno,24,4,0.3,67.2,14.78
1115,2025-04-14,Sierra,Ambato,Oficina,Cuaderno,10,4,0.1,36.0,12.24
1297,2025-04-14,Oriente,Puyo,Oficina,Marcadores,33,6,0,198,79.2
1348,2025-04-14,Oriente,Puyo,Muebles,Escritorio,1,150,0.25,112.5,11.25
1316,2025-04-15,Costa,Machala,Tecnologia,Mouse,34,20,0.25,510.0,0.0
1167,2025-04-16,Costa,Machala,Oficina,Resma papel,34,5,0,170,68.0
1263,2025-04-19,Costa,Guayaquil,Tecnologia,Monitor,4,200,0,800,120.0
1172,2025-04-20,Oriente,Tena,Muebles,Estanteria,2,90,0.2,144.0,18.72
1325,2025-04-22,Sierra,Ambato,Tecnologia,Laptop,1,800,0.3,560.0,-16.8
1071,2025-04-25,Sierra,Quito,Muebles,Estanteria,9,90,0.05,769.5,169.29
1274,2025-04-28,Oriente,Tena,Muebles,Archivador,5,110,0,550,137.5
1202,2025-04-28,Costa,Machala,Muebles,Escritorio,5,150,0.3,525.0,36.75
1270,2025-05-02,Sierra,Cuenca,Muebles,Estanteria,10,90,0.1,810.0,153.9
1176,2025-05-04,Oriente,Tena,Tecnologia,Laptop,1,800,0.3,560.0,-16.8
1124,2025-05-04,Costa,Guayaquil,Tecnologia,Laptop,3,800,0,2400,360.0
1177,2025-05-05,Oriente,Puyo,Oficina,Marcadores,31,6,0.3,130.2,28.64
1298,2025-05-06,Costa,Guayaquil,Tecnologia,Impresora,5,150,0.1,675.0,60.75
1284,2025-05-06,Sierra,Quito,Muebles,Archivador,3,110,0,330,82.5
1145,2025-05-07,Costa,Machala,Muebles,Estanteria,3,90,0.3,189.0,13.23
1214,2025-05-07,Costa,Manta,Muebles,Estanteria,3,90,0.05,256.5,56.43
1128,2025-05-09,Costa,Guayaquil,Muebles,Archivador,1,110,0.3,77.0,5.39
1337,2025-05-12,Oriente,Tena,Oficina,Marcadores,14,6,0.15,71.4,22.13
1043,2025-05-17,Costa,Guayaquil,Muebles,Escritorio,5,150,0,750,187.5
1045,2025-05-17,Costa,Manta,Muebles,Escritorio,1,150,0.2,120.0,15.6
1059,2025-05-18,Costa,Guayaquil,Muebles,Escritorio,4,150,0,600,150.0
1343,2025-05-18,Oriente,Puyo,Tecnologia,Teclado,7,45,0.2,252.0,7.56
1137,2025-05-19,Oriente,Tena,Oficina,Boligrafos,12,3,0.1,32.4,11.02
1148,2025-05-19,Sierra,Cuenca,Oficina,Resma papel,31,5,0,155,62.0
1027,2025-05-21,Sierra,Quito,Oficina,Boligrafos,6,3,0.25,13.5,3.38
1174,2025-05-21,Oriente,Tena,Oficina,Grapadora,19,8,0,152,60.8
1048,2025-05-22,Sierra,Quito,Muebles,Escritorio,4,150,0.2,480.0,62.4
1354,2025-05-23,Oriente,Tena,Oficina,Cuaderno,5,4,0,20,8.0
1098,2025-05-24,Costa,Guayaquil,Muebles,Silla,6,60,0.1,324.0,61.56
1129,2025-05-24,Sierra,Ambato,Tecnologia,Impresora,3,150,0.1,405.0,36.45
1247,2025-05-28,Costa,Guayaquil,Tecnologia,Teclado,11,45,0,495,74.25
1035,2025-06-03,Sierra,Ambato,Muebles,Escritorio,4,150,0.2,480.0,62.4
1161,2025-06-03,Sierra,Quito,Muebles,Silla,3,60,0.2,144.0,18.72
1215,2025-06-05,Sierra,Ambato,Tecnologia,Monitor,1,200,0.05,190.0,22.8
1139,2025-06-08,Costa,Guayaquil,Muebles,Archivador,3,110,0,330,82.5
1147,2025-06-09,Oriente,Tena,Oficina,Boligrafos,10,3,0,30,12.0
1208,2025-06-10,Sierra,Ambato,Tecnologia,Teclado,11,45,0,495,74.25
1350,2025-06-12,Oriente,Puyo,Oficina,Boligrafos,10,3,0,30,12.0
1149,2025-06-13,Sierra,Cuenca,Muebles,Escritorio,3,150,0.05,427.5,94.05
1116,2025-06-13,Sierra,Quito,Muebles,Escritorio,3,150,0.15,382.5,61.2
1207,2025-06-13,Costa,Machala,Oficina,Boligrafos,11,3,0.1,29.7,10.1
1287,2025-06-15,Sierra,Cuenca,Oficina,Marcadores,10,6,0.25,45.0,11.25
1158,2025-06-15,Costa,Guayaquil,Oficina,Grapadora,25,8,0,200,80.0
1127,2025-06-15,Costa,Manta,Muebles,Archivador,4,110,0,440,110.0
1020,2025-06-16,Oriente,Tena,Muebles,Silla,7,60,0.15,357.0,57.12
1126,2025-06-16,Sierra,Quito,Muebles,Silla,4,60,0.1,216.0,41.04
1223,2025-06-16,Sierra,Ambato,Oficina,Marcadores,25,6,0,150,60.0
1156,2025-06-17,Costa,Machala,Tecnologia,Mouse,18,20,0,360,54.0
1053,2025-06-17,Sierra,Ambato,Muebles,Silla,12,60,0,720,180.0
1333,2025-06-19,Costa,Machala,Tecnologia,Monitor,5,200,0.25,750.0,0.0
1023,2025-06-21,Sierra,Ambato,Tecnologia,Laptop,2,800,0.3,1120.0,-33.6
1285,2025-06-23,Sierra,Quito,Tecnologia,Laptop,1,800,0.25,600.0,0.0
1103,2025-06-24,Sierra,Cuenca,Oficina,Marcadores,6,6,0.15,30.6,9.49
1090,2025-06-24,Sierra,Quito,Tecnologia,Laptop,4,800,0.2,2560.0,76.8
1153,2025-06-25,Sierra,Quito,Oficina,Marcadores,9,6,0,54,21.6
1309,2025-06-25,Sierra,Cuenca,Oficina,Cuaderno,10,4,0,40,16.0
1217,2025-06-26,Sierra,Quito,Muebles,Silla,1,60,0,60,15.0
1313,2025-07-01,Sierra,Ambato,Tecnologia,Impresora,1,150,0.2,120.0,3.6
1347,2025-07-02,Oriente,Puyo,Oficina,Boligrafos,32,3,0.15,81.6,25.3
1021,2025-07-04,Oriente,Puyo,Tecnologia,Monitor,1,200,0.05,190.0,22.8
1256,2025-07-04,Sierra,Ambato,Tecnologia,Laptop,2,800,0,1600,240.0
1068,2025-07-06,Oriente,Puyo,Oficina,Marcadores,23,6,0,138,55.2
1001,2025-07-08,Costa,Manta,Tecnologia,Laptop,1,800,0.15,680.0,40.8
1142,2025-07-09,Oriente,Tena,Tecnologia,Impresora,5,150,0,750,112.5
1101,2025-07-18,Sierra,Ambato,Tecnologia,Teclado,6,45,0.2,216.0,6.48
1136,2025-07-20,Sierra,Ambato,Muebles,Archivador,2,110,0,220,55.0
1258,2025-07-21,Sierra,Quito,Muebles,Escritorio,3,150,0,450,112.5
1121,2025-07-23,Sierra,Quito,Oficina,Grapadora,16,8,0.15,108.8,33.73
1211,2025-07-23,Costa,Machala,Oficina,Boligrafos,25,3,0,75,30.0
1031,2025-07-24,Sierra,Cuenca,Muebles,Archivador,5,110,0.1,495.0,94.05
1085,2025-07-25,Sierra,Cuenca,Oficina,Boligrafos,23,3,0.2,55.2,15.46
1201,2025-07-25,Sierra,Ambato,Oficina,Grapadora,31,8,0,248,99.2
1009,2025-07-25,Oriente,Puyo,Muebles,Escritorio,1,150,0.25,112.5,11.25
1303,2025-07-26,Costa,Machala,Oficina,Resma papel,37,5,0,185,74.0
1340,2025-07-26,Oriente,Tena,Muebles,Silla,10,60,0,600,150.0
1038,2025-07-28,Costa,Guayaquil,Tecnologia,Laptop,5,800,0,4000,600.0
1323,2025-08-03,Sierra,Quito,Muebles,Escritorio,3,150,0,450,112.5
1224,2025-08-04,Costa,Guayaquil,Muebles,Archivador,2,110,0.05,209.0,45.98
1356,2025-08-05,Costa,Guayaquil,Muebles,Estanteria,11,90,0.25,742.5,74.25
1034,2025-08-06,Oriente,Tena,Oficina,Grapadora,29,8,0.05,220.4,81.55
1063,2025-08-08,Costa,Guayaquil,Tecnologia,Mouse,40,20,0.05,760.0,91.2
1113,2025-08-08,Sierra,Cuenca,Muebles,Estanteria,11,90,0.05,940.5,206.91
1203,2025-08-10,Costa,Manta,Muebles,Archivador,4,110,0,440,110.0
1329,2025-08-10,Sierra,Ambato,Oficina,Marcadores,33,6,0,198,79.2
1008,2025-08-11,Oriente,Tena,Tecnologia,Mouse,24,20,0.25,360.0,0.0
1032,2025-08-11,Sierra,Cuenca,Tecnologia,Monitor,1,200,0.05,190.0,22.8
1291,2025-08-12,Oriente,Puyo,Oficina,Boligrafos,33,3,0,99,39.6
1308,2025-08-12,Costa,Guayaquil,Oficina,Boligrafos,31,3,0,93,37.2
1275,2025-08-13,Oriente,Puyo,Muebles,Escritorio,5,150,0.25,562.5,56.25
1182,2025-08-13,Sierra,Quito,Tecnologia,Laptop,1,800,0,800,120.0
1320,2025-08-13,Costa,Manta,Muebles,Silla,10,60,0.3,420.0,29.4
1081,2025-08-13,Sierra,Quito,Oficina,Marcadores,19,6,0.2,91.2,25.54
1234,2025-08-14,Oriente,Puyo,Muebles,Archivador,3,110,0.1,297.0,56.43
1349,2025-08-15,Sierra,Ambato,Muebles,Archivador,2,110,0.15,187.0,29.92
1311,2025-08-15,Costa,Guayaquil,Oficina,Resma papel,5,5,0.1,22.5,7.65
1358,2025-08-15,Costa,Guayaquil,Tecnologia,Laptop,2,800,0.25,1200.0,0.0
1046,2025-08-16,Oriente,Tena,Oficina,Resma papel,33,5,0.25,123.75,30.94
1357,2025-08-17,Oriente,Tena,Muebles,Escritorio,2,150,0,300,75.0
1104,2025-08-19,Oriente,Tena,Muebles,Estanteria,6,90,0,540,135.0
1175,2025-08-20,Sierra,Cuenca,Oficina,Resma papel,8,5,0,40,16.0
1162,2025-08-22,Costa,Machala,Muebles,Estanteria,2,90,0.2,144.0,18.72
1246,2025-08-25,Costa,Manta,Tecnologia,Impresora,1,150,0.25,112.5,0.0
1039,2025-08-25,Costa,Guayaquil,Tecnologia,Impresora,2,150,0.1,270.0,24.3
1100,2025-08-26,Costa,Guayaquil,Oficina,Marcadores,9,6,0.05,51.3,18.98
1233,2025-08-26,Sierra,Ambato,Muebles,Estanteria,7,90,0,630,157.5
1200,2025-08-28,Sierra,Cuenca,Tecnologia,Impresora,3,150,0.3,315.0,-9.45
1109,2025-09-02,Costa,Guayaquil,Oficina,Grapadora,34,8,0,272,108.8
1282,2025-09-04,Sierra,Ambato,Tecnologia,Impresora,3,150,0.25,337.5,0.0
1205,2025-09-06,Costa,Machala,Oficina,Resma papel,37,5,0.1,166.5,56.61
1134,2025-09-06,Sierra,Quito,Oficina,Grapadora,35,8,0.25,210.0,52.5
1307,2025-09-07,Sierra,Quito,Tecnologia,Monitor,5,200,0.05,950.0,114.0
1272,2025-09-08,Sierra,Quito,Muebles,Silla,11,60,0.15,561.0,89.76
1166,2025-09-09,Costa,Manta,Oficina,Marcadores,9,6,0.1,48.6,16.52
1353,2025-09-12,Oriente,Tena,Muebles,Archivador,1,110,0.3,77.0,5.39
1310,2025-09-12,Sierra,Quito,Oficina,Resma papel,20,5,0,100,40.0
1191,2025-09-13,Costa,Manta,Muebles,Archivador,4,110,0.1,396.0,75.24
1099,2025-09-13,Oriente,Puyo,Muebles,Archivador,3,110,0.2,264.0,34.32
1342,2025-09-13,Oriente,Puyo,Muebles,Estanteria,7,90,0.25,472.5,47.25
1259,2025-09-13,Oriente,Tena,Muebles,Escritorio,1,150,0.15,127.5,20.4
1072,2025-09-13,Costa,Guayaquil,Muebles,Escritorio,2,150,0.15,255.0,40.8
1036,2025-09-15,Oriente,Tena,Tecnologia,Monitor,1,200,0,200,30.0
1334,2025-09-16,Sierra,Quito,Muebles,Archivador,2,110,0.1,198.0,37.62
1210,2025-09-17,Costa,Machala,Tecnologia,Mouse,7,20,0.1,126.0,11.34
1277,2025-09-18,Oriente,Tena,Muebles,Escritorio,4,150,0.2,480.0,62.4
1170,2025-09-19,Sierra,Quito,Oficina,Grapadora,28,8,0.2,179.2,50.18
1237,2025-09-19,Oriente,Tena,Tecnologia,Laptop,3,800,0.1,2160.0,194.4
1219,2025-09-21,Oriente,Puyo,Tecnologia,Monitor,4,200,0.3,560.0,-16.8
1245,2025-10-01,Sierra,Cuenca,Oficina,Grapadora,16,8,0.1,115.2,39.17
1236,2025-10-01,Costa,Manta,Muebles,Archivador,5,110,0.1,495.0,94.05
1362,2025-10-01,Oriente,Tena,Muebles,Archivador,,110,0.1,,
1286,2025-10-03,Sierra,Cuenca,Tecnologia,Mouse,30,20,0,600,90.0
1060,2025-10-04,Sierra,Cuenca,Oficina,Marcadores,7,6,0.25,31.5,7.88
1094,2025-10-05,Sierra,Quito,Muebles,Escritorio,1,150,0.1,135.0,25.65
1083,2025-10-05,Costa,Manta,Tecnologia,Impresora,3,150,0.1,405.0,36.45
1314,2025-10-06,Oriente,Tena,Tecnologia,Monitor,1,200,0.05,190.0,22.8
1189,2025-10-07,Oriente,Puyo,Oficina,Boligrafos,21,3,0.1,56.7,19.28
1082,2025-10-07,Costa,Machala,Oficina,Resma papel,7,5,0.3,24.5,5.39
1341,2025-10-10,Sierra,Ambato,Oficina,Grapadora,29,8,0.2,185.6,51.97
1016,2025-10-12,Oriente,Puyo,Tecnologia,Teclado,9,45,0.1,364.5,32.8
1067,2025-10-13,Oriente,Puyo,Muebles,Archivador,1,110,0,110,27.5
1269,2025-10-14,Oriente,Tena,Tecnologia,Laptop,3,800,0,2400,360.0
1006,2025-10-14,Costa,Manta,Tecnologia,Mouse,18,20,0.2,288.0,8.64
1276,2025-10-15,Costa,Manta,Tecnologia,Impresora,5,150,0,750,112.5
1265,2025-10-15,Oriente,Tena,Oficina,Grapadora,23,8,0.25,138.0,34.5
1220,2025-10-15,Sierra,Quito,Oficina,Boligrafos,19,3,0,57,22.8
1019,2025-10-17,Oriente,Puyo,Oficina,Boligrafos,25,3,0,75,30.0
1061,2025-10-17,Costa,Machala,Tecnologia,Monitor,2,200,0.1,360.0,32.4
1180,2025-10-18,Oriente,Puyo,Muebles,Estanteria,1,90,0,90,22.5
1254,2025-10-20,Sierra,Ambato,Oficina,Grapadora,37,8,0.25,222.0,55.5
1155,2025-10-20,Sierra,Quito,Oficina,Boligrafos,15,3,0.05,42.75,15.82
1184,2025-10-21,Costa,Guayaquil,Muebles,Archivador,5,110,0.3,385.0,26.95
1078,2025-10-21,Sierra,Quito,Muebles,Silla,9,60,0,540,135.0
1195,2025-10-21,Costa,Manta,Tecnologia,Laptop,1,800,0,800,120.0
1289,2025-10-21,Costa,Manta,Tecnologia,Laptop,3,800,0.25,1800.0,0.0
1084,2025-10-22,Costa,Machala,Tecnologia,Teclado,5,45,0,225,33.75
1228,2025-10-22,Sierra,Quito,Tecnologia,Laptop,4,800,0.15,2720.0,163.2
1012,2025-10-22,Costa,Machala,Muebles,Escritorio,1,150,0.1,135.0,25.65
1183,2025-10-22,Costa,Guayaquil,Tecnologia,Laptop,1,800,0,800,120.0
1212,2025-10-23,Sierra,Ambato,Tecnologia,Monitor,3,200,0.2,480.0,14.4
1351,2025-10-27,Costa,Machala,Oficina,Marcadores,12,6,0.1,64.8,22.03
1231,2025-10-27,Oriente,Tena,Muebles,Archivador,2,110,0.1,198.0,37.62
1204,2025-10-27,Costa,Guayaquil,Muebles,Silla,2,60,0.2,96.0,12.48
1257,2025-10-28,Oriente,Tena,Muebles,Archivador,3,110,0.25,247.5,24.75
1361,2025-10-28,Sierra,Cuenca,Tecnologia,Laptop,,800,0.1,,
1179,2025-10-28,Costa,Manta,Tecnologia,Teclado,2,45,0,90,13.5
1052,2025-11-01,Sierra,Cuenca,Tecnologia,Impresora,3,150,0,450,67.5
1091,2025-11-01,Costa,Machala,Muebles,Silla,6,60,0,360,90.0
1332,2025-11-01,Sierra,Cuenca,Oficina,Resma papel,35,5,0.2,140.0,39.2
1011,2025-11-03,Sierra,Cuenca,Oficina,Resma papel,36,5,0.3,126.0,27.72
1300,2025-11-04,Costa,Manta,Oficina,Marcadores,40,6,0.2,192.0,53.76
1281,2025-11-05,Costa,Machala,Muebles,Escritorio,3,150,0.2,360.0,46.8
1042,2025-11-05,Oriente,Tena,Muebles,Archivador,5,110,0,550,137.5
1014,2025-11-05,Costa,Manta,Tecnologia,Teclado,1,45,0.05,42.75,5.13
1296,2025-11-06,Costa,Manta,Muebles,Archivador,3,110,0.05,313.5,68.97
1293,2025-11-06,Costa,Manta,Tecnologia,Teclado,12,45,0.05,513.0,61.56
1319,2025-11-06,Oriente,Tena,Tecnologia,Monitor,5,200,0.2,800.0,24.0
1057,2025-11-06,Sierra,Ambato,Muebles,Escritorio,3,150,0,450,112.5
1352,2025-11-07,Oriente,Puyo,Oficina,Marcadores,38,6,0.1,205.2,69.77
1196,2025-11-07,Costa,Manta,Tecnologia,Laptop,1,800,0.3,560.0,-16.8
1144,2025-11-07,Costa,Guayaquil,Tecnologia,Impresora,1,150,0.3,105.0,-3.15
1190,2025-11-07,Costa,Manta,Tecnologia,Monitor,3,200,0.05,570.0,68.4
1248,2025-11-07,Oriente,Puyo,Muebles,Silla,9,60,0.25,405.0,40.5
1232,2025-11-08,Sierra,Cuenca,Muebles,Archivador,4,110,0.1,396.0,75.24
1108,2025-11-08,Costa,Guayaquil,Muebles,Silla,8,60,0.05,456.0,100.32
1133,2025-11-08,Sierra,Ambato,Tecnologia,Mouse,17,20,0.15,289.0,17.34
1062,2025-11-09,Costa,Machala,Muebles,Archivador,3,110,0.1,297.0,56.43
1188,2025-11-09,Costa,Manta,Tecnologia,Laptop,3,800,0.1,2160.0,194.4
1330,2025-11-10,Sierra,Ambato,Muebles,Estanteria,4,90,0,360,90.0
1244,2025-11-12,Costa,Machala,Muebles,Silla,11,60,0.1,594.0,112.86
1336,2025-11-12,Oriente,Puyo,Muebles,Escritorio,5,150,0.15,637.5,102.0
1150,2025-11-13,Costa,Guayaquil,Muebles,Archivador,4,110,0,440,110.0
1252,2025-11-13,Sierra,Quito,Oficina,Grapadora,7,8,0.15,47.6,14.76
1064,2025-11-13,Sierra,Quito,Oficina,Cuaderno,36,4,0.25,108.0,27.0
1095,2025-11-14,Costa,Machala,Muebles,Estanteria,4,90,0.1,324.0,61.56
1240,2025-11-15,Sierra,Quito,Muebles,Archivador,5,110,0,550,137.5
1186,2025-11-15,Costa,Manta,Muebles,Escritorio,4,150,0.15,510.0,81.6
1130,2025-11-15,Oriente,Tena,Tecnologia,Monitor,1,200,0.2,160.0,4.8
1360,2025-11-15,Costa,Guayaquil,Tecnologia,Laptop,200,800,0.2,128000.0,3840.0
1268,2025-11-16,Sierra,Ambato,Tecnologia,Impresora,3,150,0.3,315.0,-9.45
1295,2025-11-16,Costa,Manta,Tecnologia,Teclado,6,45,0.1,243.0,21.87
1074,2025-11-16,Costa,Manta,Oficina,Boligrafos,29,3,0.1,78.3,26.62
1229,2025-11-17,Sierra,Ambato,Muebles,Escritorio,2,150,0.1,270.0,51.3
1163,2025-11-17,Costa,Guayaquil,Oficina,Marcadores,10,6,0.1,54.0,18.36
1028,2025-11-18,Costa,Manta,Muebles,Estanteria,3,90,0.1,243.0,46.17
1346,2025-11-18,Costa,Guayaquil,Muebles,Silla,5,60,0.25,225.0,22.5
1010,2025-11-19,Sierra,Quito,Muebles,Silla,1,60,0,60,15.0
1076,2025-11-19,Oriente,Puyo,Oficina,Boligrafos,13,3,0.25,29.25,7.31
1271,2025-11-19,Oriente,Puyo,Oficina,Grapadora,14,8,0.3,78.4,17.25
1264,2025-11-23,Costa,Machala,Oficina,Marcadores,8,6,0.1,43.2,14.69
1075,2025-11-23,Costa,Machala,Oficina,Boligrafos,14,3,0,42,16.8
1305,2025-11-23,Sierra,Ambato,Tecnologia,Monitor,2,200,0.25,300.0,0.0
1221,2025-11-23,Sierra,Cuenca,Muebles,Escritorio,4,150,0.05,570.0,125.4
1029,2025-11-24,Oriente,Puyo,Oficina,Marcadores,17,6,0.05,96.9,35.85
1079,2025-11-24,Oriente,Tena,Muebles,Estanteria,1,90,0.2,72.0,9.36
1306,2025-11-25,Costa,Guayaquil,Oficina,Grapadora,10,8,0.3,56.0,12.32
